ID #,Date In,ST,TT,Wheel,Color,ColorName,Brand,Model,Quality,Condition,Status,DateOut,Value,Remarks,,,
11,02/19/11,21,,630,0000FF,Blue,Columbia,,D,C,Scrap,04/04/11,,,,,
21,02/19/11,23,,,0000FF,Blue,Mongoose,Rockadile,C,F,Buildathon,07/10/13,,Missing Fork,,,
22,02/19/11,17.5,,559,0000FF,Blue,Diamondback,Wildwood,C,B,,,,,,,
27,02/19/11,17.75,,559,0000FF,Blue,Schwinn,Mesa Runner,B,A,Fix for Sale,10/06/11,69,,,,
28,02/19/11,19.5,,630,0000FF,Blue,Saint Tropez,,B,B,Earn a Bike,06/18/11,,,,,
29,02/19/11,0,,559,0000FF,Blue,Jamis,Explorer XV,B,D,As-is,09/20/11,40,,,,
30,02/19/11,20.5,,559,0000FF,Blue,Peugeot,Montreal Express,B,D,Earn a Bike,05/28/11,,Rack,,,
32,05/05/11,,,559,0000FF,Blue,Schwinn,Frontier,B,B,,,,,,,
37,02/19/11,19,,559,0000FF,Blue,Huffy,Santa Fe,C,C,,,,,,,
43,02/19/11,17,,622,0000FF,Blue,Schwinn,Cross Fit,B,C,As-is,05/21/11,,105,,,
45,02/19/11,18,,559,0000FF,Blue,Trek,Mountain Track,B,A,Fix for Sale,06/30/11,121,Fix for Sale121 - 91,,,
46,02/19/11,16.5,,559,0000FF,Blue,Raleigh,SC7,B,A,Fix for Sale,,70,Fix for Sale70 - 108,,,
52,02/19/11,19,,559,0000FF,Blue,Randor,Trail Blazer,C,C,,,,,,,
65,02/19/11,23,,,0000FF,Blue,Univega,Carisma,D,D,,,,,,,
73,02/19/11,18,,622,0000FF,Blue,Schwinn,Criss Cross,B,C,As-is,10/27/11,115,Was Fix for Sale115 (?); info sheet has arrived 6/27/11,,,
76,02/19/11,21.5,,622,0000FF,Blue,Trek,1100,A,D,Earn a Bike ,,19,Earn a Bike19,,,
77,08/22/11,19,22,599,0000FF,Blue,Huffy,Grand Prairie,B,B,Scrap,08/29/11,,,,,
77,02/19/11,15,,,0000FF,Blue,Pacific,Scorpio,C,C,Youth,07/10/13,,Positive Spin,,,
89,02/19/11,20,,590,0000FF,Blue,Schwinn,Collegiate Sport,C,C,,,,,,,
91,02/19/11,19,,630,0000FF,Blue,Ross,Pipe Bomb,C,C,,,,,,,
98,02/19/11,19.5,,622,0000FF,Blue,Panasonic,Sport 500,A,F,Earn a Bike ,,162,Earn a Bike162,,,
102,02/19/11,20,,590,0000FF,Blue,Huffy,Omni,C,C,Earn a Bike,05/12/11,,,,,
102,02/19/11,15,,559,0000FF,Blue,Giant,Sedona CS,B,C,Earn a Bike,09/15/11,,Caroline reserved for Juan,,,
106,02/19/11,20,,559,0000FF,Blue,Schwinn,,B,D,,,,Shimano 600 crank,,,
111,02/19/11,21,,559,0000FF,Blue,Free Spirit,Dynasty,C,D,,,,,,,
115,02/19/11,19,,590,0000FF,Blue,C.Itoh,CI,C,D,,,,,,,
118,02/19/11,17.5,,559,0000FF,Blue,Huffy,Savannah,C,C,,,,,,,
120,02/19/11,23,,590,0000FF,Blue,Huffy,,D,C,Buildathon,07/10/13,,Caroline reserved for Juan,,,
